BW;B;GW;G;RW;R
391.5178833;31.07746573;393.6796099;5.907203272;397.2841784;8.614681582
396.6723394;33.33115932;405.1344509;6.033747565;408.7159218;6.821720563
401.4787987;35.61799547;416.5757337;6.729741176;420.1476652;5.082712385
404.8972163;37.87168907;428.0041037;7.968067471;431.5794087;3.973154007
408.9990017;40.58937841;439.4189154;9.775843084;443.0111521;3.241265509
413.6351714;42.73701584;448.7480829;11.68433762;454.4428955;2.896039031
419.3130431;44.88133901;454.9440494;13.94276587;465.874639;3.153285933
426.030892;47.09478808;460.6173442;16.27931585;477.3063824;3.716265595
433.2657761;49.46684794;464.7311636;18.49158126;488.7381258;4.189323857
442.5962963;51.31852667;467.910363;20.58453348;500.1698693;5.42671402
454.0595306;51.09255472;472.4352684;23.03045388;510.5623633;7.440110264
462.955867;49.30586983;478.1087211;25.36037535;520.9548573;9.625356294
468.7351391;47.19137495;485.4760344;27.63892586;532.3866008;10.26926522
473.4760629;44.93933848;490.5060086;29.65233595;543.8183442;9.258620378
477.6964119;42.67735924;495.619727;33.61701384;555.6398062;9.119582028
480.354129;40.42366565;499.189752;36.7945561;564.7517965;10.43994517
483.5326577;38.16997205;501.7348239;39.27196193;569.7995793;12.49807914
486.719472;35.56828165;503.7671726;41.4096566;571.3584534;14.69098575
489.9051026;33.01630507;506.3102717;43.96991881;574.1050411;17.57355024
493.0863931;30.64661254;509.3755633;46.47218155;574.9958263;20.22386414
496.2657109;28.35977639;512.2771149;48.56016239;577.0743251;23.35315007
499.4442395;26.10608279;516.5607899;50.92985492;578.1135745;26.09931527
502.6172444;24.08438706;524.8416934;53.11726341;581.0828585;30.44113614
507.367677;21.43298283;534.2359162;52.29343424;582.6862719;33.50383171
512.641683;18.66557966;540.5451085;49.79637961;585.3883203;36.76645047
517.3860394;16.26937309;544.9772147;47.39023027;587.4668191;39.97882377
524.7333226;13.92067084;550.0290867;45.20282178;589.545318;42.41472579
535.1978804;11.89094055;555.8130146;42.89278584;597.8593132;43.74888452
546.7058786;9.784881962;561.0777486;40.51480767;605.6536837;41.68830278
558.1968752;8.39289474;565.136988;37.72807134;610.330306;39.45382619
569.6760351;7.498045812;569.01756;35.15399973;616.5658024;37.21213648
581.1480931;6.901479859;572.1976669;32.83402103;625.9190471;35.68245695
592.6186446;6.368186053;575.3844812;30.23233063;637.3507905;34.62685141
604.0997414;5.391987222;578.568139;27.76321044;647.2236598;32.66556411
615.5769644;4.578488196;581.749035;25.41008918;653.9787809;30.38920536
627.0350336;4.569449318;585.4508412;23.0528251;659.6946527;28.27968516
638.4836336;4.958121075;589.6762207;20.57956209;667.4890232;26.09146499
649.9326639;5.328715076;593.8228445;18.28917495;677.8815172;24.45405239
661.3829855;5.645075808;598.0447999;15.95972695;689.3132607;23.07472981
672.8300789;6.097019711;603.3812582;13.69419673;700.7450041;22.61260552
684.2756659;6.612235761;608.1199331;11.53661653;712.1767475;22.98675024
695.7216833;7.109374055;616.5094754;9.161199376;723.608491;22.97423294
707.1702832;7.498045812;627.9942308;8.031339617;735.0402344;23.12357416
718.6300741;7.416695909;639.4574651;7.805367666;746.4719778;22.84129266
730.0896498;7.344384884;650.9219906;7.525162446;757.9037213;21.22817445
741.539541;7.678823373;662.3753252;7.714978885;769.3354647;19.78590689
752.9890017;8.031339617;673.8073538;8.799644253;780.7672081;19.35975115
764.4401842;8.311544837;685.2286219;10.33625352;792.1989516;19.22134389
775.8679086;9.576987767;696.6488139;11.91805719;802.5914456;18.92076277
784.6686553;11.80507121;708.0786904;13.09311133;815.0624384;17.91043328
790.8678909;13.9261946;719.5322402;13.2738889;823.8960584;17.27716953
798.1041136;16.24203048;730.9862204;13.4365887;836.1592013;14.73411666
807.9615212;17.83852232;742.4214772;14.3856709;847.2791699;13.25728463
819.4210969;17.76621129;753.8629752;15.07262563;858.2952136;12.1112319
830.9052067;16.66346817;765.325779;14.86473144;871.1819062;11.01475395
842.4037357;14.95512022;776.7816961;14.94608134;882.6136496;10.01085322
853.9024799;13.23773338;788.2175986;15.8680469;894.0453931;8.991216242
865.3906787;11.96325158;799.6550075;16.72674032;905.7740649;8.059307042
876.8734972;10.91474172;811.1098486;16.85328461;917.2552964;7.174186561
888.3595439;9.730648694;822.840196;16.34560096;928.5138316;6.232262385
899.8430081;8.655022204;834.1551557;15.05580327;942.1972821;5.161520575
911.323244;7.714978885;843.3324535;14.22862039;953.0227967;4.515789326
922.8030496;6.793013322;851.5082312;12.83886392;977.1853453;3.458301712
934.2845769;5.798736735;862.1011338;11.58826368;;
945.7648129;4.858693416;873.757882;10.52606996;;
957.240099;4.126544293;885.2376158;9.60711736;;
968.7117265;3.548056097;896.7241647;8.401933618;;
980.1816324;3.041878925;908.2054767;7.416695909;;
991.6528295;2.481468485;919.6832019;6.582106167;;
1003.123811;1.930096923;931.165877;5.539622231;;
1014.592426;1.47815302;942.6469021;4.566436359;;
1026.058458;1.134675653;954.1201796;3.918650097;;
1037.522123;0.890625945;965.3831597;3.353720218;;
1047.421631;0.718887262;977.8761924;2.652202848;;
;;988.3313;1.991561294;;